year,month,day,hour,weekday,season,station_1,station_2,station_3,station_4,station_5,station_6,station_7,station_8,station_9,station_10,station_11,station_13,station_14,station_15,station_16,station_17,station_18,station_19,station_20,station_21,station_22,station_23,station_avg
2022,1,1,11.5,6,1,100.70833333333331,92.08333333333331,126,116.29166666666669,100.25,146.875,119.04166666666669,134.08333333333334,91.75,126.91666666666669,84.875,122.125,98.58333333333331,100.54166666666669,96.79166666666669,129.1764705882353,115.125,129.625,116.91666666666669,120.5,88.70833333333333,107.45833333333331,112.01938502673798
2022,1,2,11.5,7,1,131.08333333333334,89.29166666666667,164.33333333333334,149.83333333333334,133.54166666666666,172.33333333333334,160.91666666666666,180.47619047619048,113.04166666666669,158.875,106.54166666666669,150.54166666666666,140.95833333333334,132.5,113.79166666666669,159.91666666666666,151.04166666666666,178.58333333333334,162.875,159.375,106.58333333333331,133.41666666666666,143.1750541125541
2022,1,3,11.5,1,1,116.25,83.875,133.875,141.91666666666666,128.33333333333334,147.125,121.91666666666669,146.25,92.70833333333331,123.95833333333331,83.125,131.91666666666666,112.45833333333331,111.79166666666669,93.04166666666669,127.375,118.5,136.41666666666666,139.04166666666666,122.66666666666669,102.33333333333331,124.83333333333331,119.98674242424241
2022,1,4,11.5,2,1,122.58333333333331,103.41666666666669,159.45833333333334,161.45833333333334,132.29166666666666,144.3913043478261,147.04545454545453,177.08333333333334,98.70833333333331,138.54166666666666,104.29166666666669,169.125,133.45833333333334,134.375,110.1904761904762,167.875,139.70833333333334,170.29166666666666,155.375,168.20833333333334,108.95833333333331,144.875,140.5322985644132
2022,1,5,11.5,3,1,55.21739130434783,47.130434782608695,53.78260869565217,60.391304347826086,53.82608695652174,47.26086956521739,54.43478260869565,52.869565217391305,54.391304347826086,45.82608695652174,38.08695652173913,48.21739130434783,51.95652173913044,56.08695652173913,50.34782608695652,48.5,57.35,63,61.45454545454545,49.63636363636363,37.78260869565217,47.869565217391305,51.60996227093065
2022,1,6,11.5,4,1,20.70833333333333,26.43478260869565,26.166666666666668,25.43478260869565,19.541666666666668,25.875,26.166666666666668,28.70833333333333,22.5,21.541666666666668,21.125,25.416666666666668,22.791666666666668,29.727272727272727,28.666666666666668,28.625,18.75,31.695652173913043,20.95833333333333,27.125,17.608695652173914,23.166666666666668,24.487932686549286
2022,1,7,11.5,5,1,39.66666666666666,39.333333333333336,57.5,57.79166666666666,40.91666666666666,56.875,52.458333333333336,62.16666666666666,40.41666666666666,49.41666666666666,42.54166666666666,61.708333333333336,43.43478260869565,50.375,45.708333333333336,54.375,44.375,60.16666666666666,50.9,69.30434782608695,38.125,44.79166666666666,50.10670289855072
2022,1,8,11.5,6,1,77.375,63.5,106.75,114.375,84.79166666666667,97.79166666666669,97.625,115.375,72.95833333333333,95.91666666666669,65.33333333333333,130.125,86.83333333333333,90.16666666666669,83.33333333333333,107.58333333333331,91.41666666666669,115.47826086956522,103.95833333333331,111.9090909090909,79.875,102.375,95.22025841418134
2022,1,9,11.5,7,1,63.91666666666666,48.41666666666666,85.125,87.16666666666667,65.625,78.95833333333333,79.54166666666667,92.91666666666669,65.45833333333333,76.95833333333333,57.16666666666666,101.20833333333331,71.75,79.625,75.58333333333333,85.125,73.70833333333333,91.375,80.70833333333333,92.79166666666669,66.54545454545455,74.04166666666667,76.98691460055096
2022,1,10,11.5,1,1,79.70833333333333,61.5,96.54166666666669,99.33333333333331,84.95833333333333,85.04166666666667,94.08333333333331,102.875,75.25,84,65.83333333333333,111.5,87.33333333333333,85.20833333333333,92.54166666666669,88.20833333333333,87.125,107.08333333333331,97.20833333333331,104.125,70.29166666666667,96.33333333333331,88.91287878787877
2022,1,11,11.5,2,1,93.83333333333331,69.125,161.70833333333334,165.33333333333334,126.45833333333331,155.7826086956522,159.42857142857142,179.29166666666666,122.25,143.33333333333334,119.66666666666669,174.625,136.125,143.875,132.16666666666666,148.0909090909091,157.82608695652175,171.83333333333334,141.33333333333334,183.75,103.7,145.375,142.4959777047722
2022,1,12,11.5,3,1,93.29166666666669,64.83333333333333,142,125.47619047619048,105.42857142857144,143.29166666666666,137.2173913043478,167.29166666666666,102.08333333333331,139.125,104.75,152.33333333333334,125.08333333333331,128.45833333333334,110.47619047619048,142.75,151.875,155.375,104.3181818181818,160.25,93.91666666666669,117.25,125.76703903803705
2022,1,13,11.5,4,1,94.58333333333331,74.58333333333333,123.91666666666669,135.17391304347825,111.66666666666669,110.375,116.29166666666669,132.20833333333334,98.83333333333331,121.375,88.55555555555556,131.20833333333334,107.04166666666669,112.22727272727272,112.20833333333331,121.58333333333331,116,131.91666666666666,131.47619047619048,120.43478260869566,92.66666666666669,114.625,113.58868398838753
2022,1,14,11.5,5,1,76.875,71.83333333333333,106.29166666666669,109.79166666666669,84.29166666666667,113.25,93.41666666666669,114.70833333333331,78.70833333333333,103.75,81.375,117.45833333333331,87.81818181818181,90.79166666666669,86.29166666666667,109.29166666666669,91.33333333333331,108.16666666666669,96,108.5,69.70833333333333,87.29166666666667,94.86105371900827
2022,1,15,11.5,6,1,80.5,72.625,122.125,133.04347826086956,87.75,114.04166666666669,100.33333333333331,132.25,86.75,114.83333333333331,100.08333333333331,164.75,97,102.375,93.1904761904762,146,101.54166666666669,125,101.08333333333331,132.83333333333334,96.125,103.875,109.45949792960664
